DateTime,ExternalT,ExternalRH,ExternalPw,RoomT,RoomRH,RoomPw,DelPw,Season,RetrofitStatus,HomeID,BuiltType,BuiltYear,Occupants,Income,RoomType,RoomDPT
2015-03-17T23:00:00Z,-1.5,96,0.53,20.5,38,0.92,-0.48,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.7
2016-02-27T06:00:00Z,4.2,82,0.68,16.5,42,0.79,-0.16,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.5
2016-03-17T14:00:00Z,7.6,58,0.61,20.5,42,1,-0.45,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7
2016-11-20T21:00:00Z,-1.2,98,0.55,22.2,34,0.9,-0.42,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.4
2016-11-19T06:00:00Z,1.2,89,0.6,17,40,0.78,-0.28,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.3
2016-04-21T06:00:00Z,6.6,90,0.87,19,46,1.01,-0.22,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.1
2016-09-14T09:00:00Z,16.5,84,1.59,21,60,1.49,0.07,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.9
2016-11-08T11:00:00Z,5.6,88,0.8,18,40,0.83,-0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,4.2
2015-05-13T11:00:00Z,11.4,67,0.9,17,48,0.93,-0.09,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5.9
,2.2,93,0.67,24,32,0.96,-0.29,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6.3
2016-01-30T08:00:00Z,1.7,85,0.59,18.8,39,0.84,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,4.5
2015-11-30T21:00:00Z,1.7,97,0.67,18.2,53,1.12,-0.43,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,8.6
2015-02-08T23:00:00Z,0.8,100,0.65,26,26,0.87,-0.27,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,5
2016-10-12T11:00:00Z,12.2,80,1.14,20,53,1.24,-0.14,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.1
2015-05-13T13:00:00Z,12,66,0.93,17.5,48,0.96,-0.14,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6.4
2015-05-17T21:00:00Z,8.4,92,1.01,21.5,50,1.28,-0.31,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,10.6
2015-02-08T14:00:00Z,2.9,100,0.75,26.5,28,0.97,-0.26,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6.5
2016-01-21T09:00:00Z,8,93,1,18.6,42,0.91,-0.02,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.6
2016-02-08T01:00:00Z,4.7,87,0.74,21.5,38,0.96,-0.27,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.4
2015-11-09T10:00:00Z,12.3,96,1.37,17.4,60,1.19,0.19,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.5
2016-01-24T07:00:00Z,13.1,85,1.28,22.1,46,1.23,0,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10
2016-06-19T12:00:00Z,17.8,90,1.83,22.9,59,1.65,0.22,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.5
2015-10-25T12:00:00Z,11.9,65,0.91,17.1,51,1,-0.11,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6.9
2015-12-08T18:00:00Z,5.3,76,0.68,18,51,1.05,-0.44,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.6
2016-11-27T17:00:00Z,8,82,0.88,20,50,1.17,-0.32,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.3
2016-05-07T17:00:00Z,11.4,86,1.16,20.8,49,1.2,-0.06,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.6
2016-07-12T21:00:00Z,12.1,81,1.15,22.6,51,1.4,-0.26,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12
2016-11-08T09:00:00Z,5.4,79,0.71,18,39,0.81,-0.18,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.9
2016-05-31T09:00:00Z,16,64,1.18,22,48,1.28,-0.12,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.6
2016-01-15T10:00:00Z,0.5,92,0.58,19.9,34,0.79,-0.35,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.7
,5.9,68,0.63,20.2,36,0.87,-0.35,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,4.9
2016-08-31T13:00:00Z,17.2,66,1.31,24.2,52,1.58,-0.29,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.8
2016-01-07T06:00:00Z,5.1,80,0.7,18.1,45,0.94,-0.3,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,6
2015-11-11T20:00:00Z,10,73,0.9,18.8,61,1.32,-0.5,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.1
2015-10-19T19:00:00Z,7.2,95,0.97,21.4,53,1.35,-0.33,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.4
2016-02-12T09:00:00Z,3.8,99,0.79,18,40,0.83,-0.11,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,4.2
2015-03-16T10:00:00Z,5.9,88,0.82,16.5,42,0.79,-0.03,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,3.5
2016-03-10T10:00:00Z,7.7,78,0.81,18.5,42,0.9,-0.14,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.4
2016-05-17T05:00:00Z,10.4,82,1.03,21,47,1.17,-0.26,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.3
2015-11-13T01:00:00Z,5.7,88,0.81,17.4,54,1.08,-0.36,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,8
2016-11-12T11:00:00Z,10.2,90,1.12,19.6,54,1.23,-0.14,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10
2015-04-26T00:00:00Z,1.4,83,0.56,18.5,44,0.94,-0.4,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,6
2015-10-08T10:00:00Z,14.7,65,1.09,21.6,47,1.22,-0.14,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.9
2016-07-15T12:00:00Z,21.4,79,2.02,21.4,66,1.68,0.4,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.8
2016-09-20T14:00:00Z,15,54,0.93,21,52,1.3,-0.47,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.8
2015-06-03T22:00:00Z,11.7,76,1.04,20.4,51,1.23,-0.25,Non-Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,10
2016-05-18T22:00:00Z,7.8,79,0.84,25,42,1.35,-0.44,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.4
2016-11-26T23:00:00Z,5.6,98,0.89,20.5,43,1.03,-0.19,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.4
2015-10-27T04:00:00Z,12.9,94,1.4,19,60,1.31,0.02,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11
2015-04-24T12:00:00Z,13.3,66,1.01,19,46,1.01,-0.05,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.1
2016-05-06T07:00:00Z,8.9,82,0.93,19,49,1.08,-0.22,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,8.1
2016-08-07T13:00:00Z,18.9,61,1.34,22.4,56,1.52,-0.25,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.2
2016-12-11T04:00:00Z,6.2,92,0.88,20.2,45,1.07,-0.22,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.9
2016-09-01T21:00:00Z,15.6,88,1.57,22,58,1.53,0.07,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.4
2015-04-25T06:00:00Z,9.6,92,1.1,17.5,52,1.04,0.03,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.5
2016-04-12T11:00:00Z,10.4,78,0.99,19,47,1.03,-0.09,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.4
2016-08-11T20:00:00Z,16.4,85,1.58,21.5,62,1.59,0.03,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.9
2016-08-24T13:00:00Z,19.5,46,1.05,23.9,53,1.58,-0.61,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.8
2015-06-22T17:00:00Z,17.4,56,1.12,22.5,50,1.37,-0.35,Non-Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,11.6
2016-01-10T18:00:00Z,3.2,84,0.65,20.4,38,0.92,-0.31,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,5.7
2016-09-26T19:00:00Z,13.2,84,1.27,22.2,53,1.43,-0.16,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,12.3
2015-05-12T01:00:00Z,9.1,73,0.84,20,44,1.03,-0.3,Heating,Pre Retrofit,H01,ET,1994,1,17433,Living Room,7.4
2016-08-10T04:00:00Z,11.2,94,1.25,21,51,1.27,-0.07,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,10.5
2016-10-10T03:00:00Z,7.3,98,1,21,49,1.22,-0.24,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,9.9
2015-10-07T22:00:00Z,8.6,90,1,22,51,1.35,-0.46,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.4
2016-02-19T02:00:00Z,2.7,89,0.66,17.5,39,0.78,-0.2,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,3.4
2016-08-28T01:00:00Z,14.5,89,1.47,24,54,1.61,-0.16,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,14.1
2016-06-22T21:00:00Z,11.6,79,1.08,23.9,54,1.59,-0.5,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.9
2016-06-28T20:00:00Z,11.9,88,1.23,22.5,56,1.54,-0.28,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.4
2016-08-04T13:00:00Z,17.6,78,1.58,21.5,60,1.54,0.04,Non-Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,13.4
2016-04-14T14:00:00Z,9.3,78,0.91,18.6,48,1.04,-0.16,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,7.5
2015-10-28T19:00:00Z,12,87,1.22,19.2,61,1.36,-0.16,Heating,Post Retrofit,H01,ET,1994,1,17433,Living Room,11.5
